Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,level,cell_type,comparison,gene_set_library
prerank,Autophagy R-HSA-9612973,0.6185816010064806,2.532317568722078,0.001,0.001,0.001,45/123,5.43%,HSP90AA1;UBA52;HSP90AB1;RRAGA;MAP1LC3B;VPS28;UBB;DYNLL2;RRAGC;TOMM20;MAP1LC3A;DYNLL1;VPS37D;LAMTOR5;TOMM7;LAMTOR1;UBC;SQSTM1;ATG101;LAMTOR2;VDAC1;LAMTOR4;WIPI2;CHMP2A;EEF1A1;MLST8;RPS27A;PGAM5;PRKAB2;CHMP4B;GABARAPL1;LAMTOR3;GABARAP;TOMM22;FUNDC1;CHMP6;PARK7;PINK1;GABARAPL2;ATG4D;UBE2N;HSPA8;TOMM70;RHEB;CHMP7,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Termination R-HSA-5419276,0.7063040495038277,2.495866582325596,0.001,0.001,0.001,44/74,11.66%,MRPL18;GADD45GIP1;MRPS21;MRPS36;MRPS23;MRPS34;MRPL49;MRPL10;AURKAIP1;MRPS2;MRPL34;MRPS10;MRPL55;MRPL35;MRPL19;MRPL4;MRPL44;MRPL43;MRPS7;MRPL36;MRPL41;MRPL24;CHCHD1;MRPL14;OXA1L;MRPS26;MRPL50;ERAL1;MRPL15;MRPL20;MRPL40;MRPL51;MRPS33;MRPL21;MRPS18B;MRPL9;MRPS35;MRPL32;MRPL47;MRPL54;MRPL37;MRPL16;MRPS15;MRPS16,excitatory_subtypes,Ex_L5_L6_THEMIS_TMEM233,c9ALS_vs_sALS,Reactome_2022
prerank,Macroautophagy R-HSA-1632852,0.6154569822341178,2.4861171372802495,0.001,0.001,0.001,47/109,10.07%,HSP90AA1;UBA52;RRAGA;MAP1LC3B;UBB;DYNLL2;RRAGC;TOMM20;MAP1LC3A;DYNLL1;LAMTOR5;TOMM7;LAMTOR1;UBC;SQSTM1;ATG101;LAMTOR2;VDAC1;LAMTOR4;WIPI2;CHMP2A;MLST8;RPS27A;PGAM5;PRKAB2;CHMP4B;GABARAPL1;LAMTOR3;GABARAP;TOMM22;FUNDC1;CHMP6;PARK7;PINK1;GABARAPL2;ATG4D;UBE2N;HSPA8;TOMM70;RHEB;CHMP7;MFN2;ULK1;CHMP2B;VCP;SRC;HSF1,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Initiation R-HSA-5368286,0.6992180643936156,2.470873361940371,0.001,0.001,0.001,45/74,12.33%,MRPL18;GADD45GIP1;MRPS21;MRPS36;MRPS23;MRPS34;MRPL49;MRPL10;AURKAIP1;MRPS2;MRPL34;MRPS10;MRPL55;MRPL35;MRPL19;MRPL4;MRPL44;MRPL43;MRPS7;MRPL36;MRPL41;MRPL24;CHCHD1;MRPL14;OXA1L;MRPS26;MRPL50;ERAL1;MRPL15;MRPL20;MRPL40;MRPL51;MRPS33;MRPL21;MRPS18B;MRPL9;MRPS35;MRPL32;MRPL47;MRPL54;MRPL37;MRPL16;MRPS15;MRPS16;MTIF3,excitatory_subtypes,Ex_L5_L6_THEMIS_TMEM233,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation R-HSA-5368287,0.6879967376361666,2.453554649022663,0.001,0.001,0.001,46/80,12.33%,MRPL18;GADD45GIP1;MRPS21;MRPS36;MRPS23;MRPS34;MRPL49;MRPL10;AURKAIP1;MRPS2;MRPL34;MRPS10;MRPL55;MRPL35;MRPL19;MRPL4;MRPL44;MRPL43;MRPS7;MRPL36;MRPL41;MRPL24;CHCHD1;MRPL14;OXA1L;MRPS26;MRPL50;ERAL1;MRPL15;MRPL20;MRPL40;MRPL51;MRPS33;TUFM;MRPL21;MRPS18B;MRPL9;MRPS35;MRPL32;MRPL47;MRPL54;MRPL37;MRPL16;MRPS15;MRPS16;MTIF3,excitatory_subtypes,Ex_L5_L6_THEMIS_TMEM233,c9ALS_vs_sALS,Reactome_2022
prerank,Autophagy R-HSA-9612973,0.6439242973784907,2.4481846189404237,0.001,0.001,0.001,68/119,15.42%,FUNDC1;LAMTOR5;RRAGA;LAMTOR4;ATG4B;ATG4D;CHMP4B;MAP1LC3B;TOMM20;RPS27A;GABARAPL2;WIPI1;PINK1;MLST8;UBA52;TOMM7;WIPI2;RHEB;UBB;BECN1;DYNLL2;DYNLL1;HSF1;HSPA8;GABARAPL1;DYNC1H1;EEF1A1;PRKAB2;MAP1LC3A;VPS28;TOMM70;PARK7;CHMP2A;HSP90AA1;SQSTM1;HSP90AB1;VCP;ATG3;UBC;ATG12;TOMM22;CHMP7;CHMP2B;MFN2;TOMM40;DYNC1LI2;VDAC1;NBR1;GFAP;RRAGB;LAMTOR2;WDR45;VPS37D;LAMTOR1;PLIN3;PEX5;ATG4C;RNASE1;LAMP2;RB1CC1;ULK1;ATM;WDR45B;MTERF3;PLIN2;LAMTOR3;ATG101;PRKAB1,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation R-HSA-5368287,0.6606643172702952,2.427094530520986,0.001,0.001,0.001,45/81,14.70%,MRPS33;CHCHD1;MRPL17;TUFM;MRPL55;GFM2;MRPL57;MRPS16;MRPS27;MRPL47;MRPL36;GADD45GIP1;OXA1L;MRPL34;MRPL21;MRPS21;MRPS18A;MRPL51;MRPL9;MTRF1L;MRPS7;MRPL10;MRPS18C;MRPL43;MRPL24;MRPL41;MRPS34;MRPS26;MRPL33;MRPS2;MRPL15;MRPL54;MRPL52;MTFMT;AURKAIP1;MRPL4;MRPL42;MRPS23;MRPL20;MRPL16;TSFM;MRPL49;MRPL11;MRRF;MRPL44,glia_subtypes,Glia_Micro,c9ALS_vs_sALS,Reactome_2022
prerank,Selective Autophagy R-HSA-9663891,0.6691585645826499,2.4024884727385434,0.001,0.001,0.001,27/56,10.07%,HSP90AA1;UBA52;MAP1LC3B;UBB;DYNLL2;TOMM20;MAP1LC3A;DYNLL1;TOMM7;UBC;SQSTM1;VDAC1;RPS27A;PGAM5;PRKAB2;TOMM22;FUNDC1;PARK7;PINK1;UBE2N;HSPA8;TOMM70;MFN2;ULK1;VCP;SRC;HSF1,broad,Excitatory,c9ALS_vs_sALS,Reactome_2022
prerank,Mitochondrial Translation Termination R-HSA-5419276,0.6653567501798882,2.3998134193491123,0.001,0.001,0.001,42/75,14.70%,MRPS33;CHCHD1;MRPL17;MRPL55;GFM2;MRPL57;MRPS16;MRPS27;MRPL47;MRPL36;GADD45GIP1;OXA1L;MRPL34;MRPL21;MRPS21;MRPS18A;MRPL51;MRPL9;MTRF1L;MRPS7;MRPL10;MRPS18C;MRPL43;MRPL24;MRPL41;MRPS34;MRPS26;MRPL33;MRPS2;MRPL15;MRPL54;MRPL52;AURKAIP1;MRPL4;MRPL42;MRPS23;MRPL20;MRPL16;MRPL49;MRPL11;MRRF;MRPL44,glia_subtypes,Glia_Micro,c9ALS_vs_sALS,Reactome_2022
prerank,Macroautophagy R-HSA-1632852,0.6416907727498858,2.3939815258368267,0.001,0.001,0.001,61/105,15.42%,FUNDC1;LAMTOR5;RRAGA;LAMTOR4;ATG4B;ATG4D;CHMP4B;MAP1LC3B;TOMM20;RPS27A;GABARAPL2;WIPI1;PINK1;MLST8;UBA52;TOMM7;WIPI2;RHEB;UBB;BECN1;DYNLL2;DYNLL1;HSF1;HSPA8;GABARAPL1;DYNC1H1;PRKAB2;MAP1LC3A;TOMM70;PARK7;CHMP2A;HSP90AA1;SQSTM1;VCP;ATG3;UBC;ATG12;TOMM22;CHMP7;CHMP2B;MFN2;TOMM40;DYNC1LI2;VDAC1;NBR1;RRAGB;LAMTOR2;WDR45;LAMTOR1;PLIN3;PEX5;ATG4C;RB1CC1;ULK1;ATM;WDR45B;MTERF3;PLIN2;LAMTOR3;ATG101;PRKAB1,excitatory_subtypes,Ex_L5_PCP4_NXPH2,c9ALS_vs_sALS,Reactome_2022
