leiden_deep_ex_r0p6,UMN_L5_ET_candidate_score,L5_deep_layer_score,L6_corticothalamic_like_score,excitatory_identity_score,VAT1L,THSD4,EYA4,POU3F1,FEZF2,BCL11B,PCP4,ARL13B,TLE4,CCBE1,MEGF11
0,-0.1575675843200654,-0.0710481344647663,0.026635046559119264,0.13422231787278704,0.11446510783074611,0.05048795747248586,0.009083224835457373,0.0020535972236997544,0.006127132879058354,0.347600508971798,0.03824730303871253,0.3793559542242187,0.2614471821325748,0.46583301036930835,0.0903141408090198
1,-0.0015668558578907981,-0.11100324053136652,0.7356308453790376,-0.1922951148533071,0.3585316550913272,0.06056008338695522,0.08267028605562884,0.0005686616514175917,0.1492550392050678,0.8285669899712232,0.1485839249229943,0.342112777498561,1.8355910726062514,0.08687333406371141,0.5826019572885802
10,-0.056235813958618444,-0.18232513857920937,0.6663696425743166,0.3355775575333087,0.321133940095632,0.06731780279575919,0.0136150323429912,0.004197720608688344,0.2140004835938189,0.4480125379895445,0.1385463073904076,0.29312625970619394,1.9096767314115772,1.2022474481387537,0.18516274839655772
11,0.03242423089362356,-0.029342430577924374,0.6193463004311621,0.2849637360544637,0.4108137422270014,0.035589153173844604,0.01858714511456991,0.0008494355638101118,0.15822941071878804,1.057970491282255,0.18992599928034248,0.41688122163076224,1.875024367364127,1.4699062350301448,0.08608459697793616
12,-0.14923459350823076,-0.14627790815932745,-0.12890927602393637,0.15732406969852405,0.10815069178349912,0.04731386738550172,0.012518773668998475,0.016719508348972487,0.015610435974689264,0.3975613597583133,0.0760559317046474,0.3391704106020178,0.3200824047732383,0.18065117314334656,0.10903379441058465
13,-0.15244382160404044,-0.12609063945797191,0.18647515194392003,-0.12985456126411363,0.14523559212861728,0.14399740206054762,0.013219947903181616,0.004358417147231589,0.0,0.20948639596616841,0.052881865743659946,0.3698620927750882,0.0998339792158621,0.17211992621683508,0.18192452046033944
14,-0.1333550229631327,-0.10637461716604985,-0.11441391911217878,0.17159648657948606,0.17234582390650408,0.09943225399825806,0.014504982492567724,0.005270799667402339,0.0,0.24523695342933163,0.009350375470739898,0.29223660768199405,0.1928318955167587,0.18239522955380272,0.0401872184307012
2,-0.15716518455158535,-0.04582450089059692,-0.04489557025146543,0.13475263524751432,0.12057951323409535,0.04223170656628085,0.013510811969409944,0.003790929255795639,0.018445875397023477,0.3738039181684879,0.01892183031465598,0.4162869649691878,0.2404085013597987,0.22818769682689027,0.07467614162495434
3,-0.14563176276603398,0.08616510040723485,-0.2011693034930123,0.38303997314311267,0.049341111709686636,0.07059446914961737,0.012585415848744909,0.0016438647989307313,0.0009555959392914046,0.3418616773263645,0.027144806115946007,0.36290789566511306,0.7838339110307462,0.047621635021027744,0.07394507430546049
4,0.2652023907751652,0.2969050771985125,0.5856737032997785,0.0508434942101862,0.19556371031187902,0.04986338188058292,0.07149701234544709,0.00042698611148326725,0.2948389620939711,1.2752717646531027,1.4624730402919943,0.26624942210168145,2.0727335737576715,0.002629012971278478,0.10009249778830978
5,-0.07765101009873955,-0.1821599711251491,0.5806290597761005,0.1693886738374589,0.33757579041906594,0.07754244235014683,0.015048724115654796,0.0010667404228481567,0.21017464828521337,0.3922597054182664,0.0704259389668865,0.35610063288789773,1.9867300538943085,0.17465471336481703,0.18857688865658423
6,-0.1509264296552463,-0.10254969452367596,-0.09036946379390728,0.15545117881096426,0.1336460433175305,0.1186636256573455,0.024834282651866196,0.004152401810594978,0.004350061853067973,0.3903895620478101,0.05084614779840749,0.3762230247624127,0.2920765684799834,0.2726782254155864,0.15204864612886923
7,-0.00032360552753075007,-0.10464507890746125,0.6982714011380686,-0.14836165401911589,0.34213462379864534,0.05062573100109645,0.05526989393609441,0.0012232178579282614,0.19322439929423937,0.8130459528001913,0.1777664423646602,0.3235173974587682,1.8544723110601788,0.10413035156233882,0.5708104104510251
8,-0.15961986631689193,-0.18264901488712548,-0.05257348471602612,0.08989442820654854,0.09621296501739135,0.08745504383963196,0.018305241173700137,0.027581862366403857,0.01671278494896142,0.22188244355450704,0.11770210304357137,0.369444272900182,0.36723150889767914,0.39596133619534185,0.12393891212119258
9,-0.06740932910543336,-0.11032026406698309,0.27721046072412486,-0.042127448210063076,0.199429640345828,0.0661898205052783,0.07970444939134817,0.004491706587023214,0.08449007675325722,0.5594494601487133,0.22509256757029558,0.35545292244558,1.146184411225497,0.3367494090981645,0.2723700496991614
