cell_subtype,n_cells,gene,detected_cells,pct_detected,mean_counts_per_cell,mean_counts_among_detected
Ex.L2_L3.CUX2_RASGRF2,14924,VAT1L,2267,15.190297507370678,0.4493770723160387,2.9583164654806184
Ex.L2_L3.CUX2_RASGRF2,14924,EYA4,1383,9.266952559635486,0.18767227556092148,2.0251779034498854
Ex.L2_L3.CUX2_RASGRF2,14924,THSD4,4020,26.93647815599035,0.6466225964895285,2.400546176619334
Ex.L2_L3.CUX2_RASGRF2,14924,POU3F1,1707,11.437952291610829,0.14601380773284509,1.2765729739923726
Ex.L2_L3.CUX2_RASGRF2,14924,FEZF2,273,1.8292682926829267,0.027575762677933175,1.5074750263936811
Ex.L2_L3.CUX2_RASGRF2,14924,BCL11B,5378,36.03591530420799,0.8449160531494069,2.3446499027894654
Ex.L2_L3.CUX2_RASGRF2,14924,PCP4,4256,28.517823639774857,0.45877954844757124,1.608746706069444
Ex.L2_L3.CUX2_RASGRF2,14924,TLE4,7725,51.762262128115786,1.20356156110974,2.3251718754694837
Ex.L4_L5.RORB_POU3F2,4945,VAT1L,1225,24.772497472194136,0.3310925009526466,1.3365325854782346
Ex.L4_L5.RORB_POU3F2,4945,EYA4,195,3.9433771486349847,0.050519117518224785,1.2811130057826745
Ex.L4_L5.RORB_POU3F2,4945,THSD4,1117,22.588473205257838,0.41514883674451275,1.8378791384974176
Ex.L4_L5.RORB_POU3F2,4945,POU3F1,215,4.3478260869565215,0.04794450803836787,1.102723684882461
Ex.L4_L5.RORB_POU3F2,4945,FEZF2,97,1.961577350859454,0.020686577233270362,1.054588911531154
Ex.L4_L5.RORB_POU3F2,4945,BCL11B,185,3.741152679474216,0.04968630939349173,1.3281016213557653
Ex.L4_L5.RORB_POU3F2,4945,PCP4,1134,22.932254802831142,0.41911627938970575,1.8276278673563446
Ex.L4_L5.RORB_POU3F2,4945,TLE4,2870,58.03842264914054,1.266592730382947,2.1823348612347293
Ex.L4_L6.RORB_LRRK1,3671,VAT1L,1513,41.21492781258513,0.6126742836938748,1.4865348945407895
Ex.L4_L6.RORB_LRRK1,3671,EYA4,292,7.954235903023699,0.12449611911056756,1.5651549769003203
Ex.L4_L6.RORB_LRRK1,3671,THSD4,795,21.656224461999454,0.3101223729886628,1.432024190240731
Ex.L4_L6.RORB_LRRK1,3671,POU3F1,29,0.789975483519477,0.008124707070594163,1.0284758502121094
Ex.L4_L6.RORB_LRRK1,3671,FEZF2,721,19.640424952329067,0.23670241033289163,1.205179678685222
Ex.L4_L6.RORB_LRRK1,3671,BCL11B,767,20.893489512394442,0.363158134094094,1.738140169829751
Ex.L4_L6.RORB_LRRK1,3671,PCP4,2610,71.09779351675293,2.931874761160215,4.123721167900057
Ex.L4_L6.RORB_LRRK1,3671,TLE4,2523,68.72786706619449,1.6485695145639037,2.398691513263611
Ex.L5.PCP4_NXPH2,872,VAT1L,274,31.422018348623855,0.41795772238915047,1.3301428245377345
Ex.L5.PCP4_NXPH2,872,EYA4,80,9.174311926605505,0.19675400857793432,2.1446186934994844
Ex.L5.PCP4_NXPH2,872,THSD4,84,9.63302752293578,0.10396712196735951,1.0792777423278272
Ex.L5.PCP4_NXPH2,872,POU3F1,4,0.45871559633027525,0.004550874460167938,0.9920906323166104
Ex.L5.PCP4_NXPH2,872,FEZF2,356,40.825688073394495,0.5670069134460978,1.3888483947331385
Ex.L5.PCP4_NXPH2,872,BCL11B,798,91.5137614678899,3.9529758572465425,4.319542540750608
Ex.L5.PCP4_NXPH2,872,PCP4,787,90.25229357798165,5.978850399244038,6.624596630420332
Ex.L5.PCP4_NXPH2,872,TLE4,856,98.1651376146789,9.985898748919245,10.172551061983155
Ex.L5_L6.THEMIS_NR4A2,840,VAT1L,99,11.785714285714285,0.11320189285944522,0.9605009091104442
Ex.L5_L6.THEMIS_NR4A2,840,EYA4,21,2.5,0.04825684235754568,1.9302736943018273
Ex.L5_L6.THEMIS_NR4A2,840,THSD4,117,13.928571428571429,0.16332638428297636,1.1725996820316253
Ex.L5_L6.THEMIS_NR4A2,840,POU3F1,3,0.35714285714285715,0.0028945622457395162,0.8104774288070645
Ex.L5_L6.THEMIS_NR4A2,840,FEZF2,3,0.35714285714285715,0.0033252268053956457,0.9310635055107808
Ex.L5_L6.THEMIS_NR4A2,840,BCL11B,426,50.71428571428571,1.007597148449405,1.9868112786326297
