baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,analysis_level,group_name,comparison
105.03002142720365,1.3981591376407019,0.984820571365114,1.4197095169352896,,,MICOS10,broad,Microglia,Control_vs_sALS
34.80467454010814,0.02921956249639158,0.36107714139798397,0.08092332398351795,0.9355029309375575,0.9825172562204584,TFB2M,broad,Microglia,Control_vs_sALS
401.1873606931236,-0.009653893529663263,0.26041357620729966,-0.03707139109359788,0.9704280829426642,0.9915205035886844,TOMM20,broad,Microglia,Control_vs_sALS
104.38743030560775,0.41314196473290865,0.3662856799650101,1.1279227863136079,0.25935252972545086,0.6709057217054307,PINK1,broad,Microglia,Control_vs_sALS
138.56096947013586,7.166811759853707e-05,0.20106833256427406,0.0003564366237315239,0.9997156047270418,0.99986312067875,MFN2,broad,Microglia,Control_vs_sALS
2.0375881992033866,1.5178339111817263,1.1994700081844794,1.2654204780652443,0.20572063820894626,,HSPE1,broad,Microglia,Control_vs_sALS
617.1187167501193,-0.8336484996379806,0.5330095440920176,-1.5640404733429338,,,HSPD1,broad,Microglia,Control_vs_sALS
920.046987337628,0.07220561583634486,0.2002955670464871,0.36049532648711324,0.7184767509496948,0.9202749870484193,MFF,broad,Microglia,Control_vs_sALS
208.41023997472942,0.2901047396088134,0.1932948991793631,1.5008401196330488,0.13339691907629475,0.5299657572906723,ATG16L1,broad,Microglia,Control_vs_sALS
384.03812458646496,0.2342236293371678,0.22709632585739106,1.0313844948960225,0.30236054895025277,0.7025881833974487,IMMT,broad,Microglia,Control_vs_sALS
632.4968484138097,0.1935248453336711,0.16332094362941585,1.1849358755407975,0.23604280150340562,0.650517448785889,NDUFS1,broad,Microglia,Control_vs_sALS
182.42104850134945,0.20681298338577378,0.20544185782507307,1.00667403213355,0.31409144503195074,0.7106637858328347,TOMM70,broad,Microglia,Control_vs_sALS
490.3242684551966,-0.15306582906625235,0.21584673373861293,-0.7091412800881791,0.47823680836167426,0.8148539685961358,ATP6V1A,broad,Microglia,Control_vs_sALS
946.1159919999477,-0.19007504936200628,0.1328576065867861,-1.430667420896554,0.15252555459865277,0.5564699369130759,RAB7A,broad,Microglia,Control_vs_sALS
519.1586836335736,0.48933255284625127,0.17708154499671677,2.7633176164987936,0.005721705893881037,0.1219021652343529,MFN1,broad,Microglia,Control_vs_sALS
890.6219593621715,0.06803649653870868,0.16798782400680012,0.40500849952050433,0.6854712633029458,0.9071211886172068,OPA1,broad,Microglia,Control_vs_sALS
133.48366719317698,-0.2355864723285054,0.2561014505247723,-0.9198951112762929,0.3576275738466611,0.7400542730197005,UQCRC1,broad,Microglia,Control_vs_sALS
1462.4636781610516,0.21208800384057908,0.20972045992443,1.0112890459853185,0.3118781073054059,0.7090833357459315,ATG7,broad,Microglia,Control_vs_sALS
19.531861171139376,0.6778915915460768,0.4281834129878874,1.583180410506124,0.11338035008121378,0.4946913193982862,PPARGC1A,broad,Microglia,Control_vs_sALS
115.14493599032312,0.31317835673636346,0.4281999114061736,0.7313835159561599,0.46454493098551164,0.805633827433637,SLC25A4,broad,Microglia,Control_vs_sALS
676.0359621989821,0.21163835987470225,0.15795962259993207,1.339825687041071,0.18030202245304072,0.5899422541290835,WDR41,broad,Microglia,Control_vs_sALS
295.18888313821304,0.025786333290935697,0.20812718506110373,0.12389699732577043,0.9013968304177358,0.9731192400544324,ATG12,broad,Microglia,Control_vs_sALS
179.0153844155278,-0.16783600916832409,0.27616687647673777,-0.6077340313564409,0.5433638883197716,0.845898045536679,VDAC1,broad,Microglia,Control_vs_sALS
35.72604441750661,-0.33312934014589557,0.5330505997417445,-0.6249488140662294,0.5320046530859603,0.8404028614508487,PPARGC1B,broad,Microglia,Control_vs_sALS
545.1794145823309,0.19677077567789794,0.2414504131020854,0.8149531539409838,0.415099125637593,0.7755610498405597,SQSTM1,broad,Microglia,Control_vs_sALS
0.0,,,,,,SDHA,broad,Microglia,Control_vs_sALS
431.1646151189305,0.08505472273536441,0.18991731329257477,0.44785133730453747,0.6542604903027235,0.8941463386873671,ATG5,broad,Microglia,Control_vs_sALS
489.75893561573446,0.04708871917306707,0.1744860598104099,0.26987095258057825,0.7872595347808296,0.940548494725816,SOD2,broad,Microglia,Control_vs_sALS
395.77163506832505,0.2380423773318942,0.20938135129349858,1.1368843302487825,0.2555866435367474,0.6682418151997361,TFB1M,broad,Microglia,Control_vs_sALS
3564.1394820899013,0.37616175585593786,0.1960966356285494,1.9182468615548907,0.05507971679806557,0.3632053231328951,PRKN,broad,Microglia,Control_vs_sALS
236.07899278163552,0.24509034433832136,0.19598817987194664,1.2505363563172878,0.21110368302701088,0.6248300277541833,WIPI2,broad,Microglia,Control_vs_sALS
369.37214727988527,-0.057471095399868215,0.2794865258944274,-0.2056310057021397,0.8370791560196615,0.9536182749396127,FIS1,broad,Microglia,Control_vs_sALS
923.7718815077715,0.11941311509955323,0.16638945748424136,0.7176723628109839,0.47295932791118556,0.810983544193957,NRF1,broad,Microglia,Control_vs_sALS
1014.9722660633156,0.26547655513599505,0.17573265087520765,1.5106842912448688,0.13086890657759515,0.526460842415619,TAX1BP1,broad,Microglia,Control_vs_sALS
38.55936352739796,-0.2305953005928586,0.3197088807167839,-0.7212664849217401,0.47074557322746036,0.8092835244678609,FUNDC1,broad,Microglia,Control_vs_sALS
4453.411512254359,0.3401779226516306,0.24620376542589514,1.3816926075975093,0.1670661051736687,0.5742261971942832,LAMP2,broad,Microglia,Control_vs_sALS
