baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
150.2546365648542,0.10734204280026051,0.27869029087342545,0.38516606539770964,0.7001143833627255,0.8255096348812526,MICOS10
181.95958913119813,0.19599776235206554,0.19952426770443824,0.982325431422725,0.3259395495672006,0.5218314606592798,TFB2M
2223.6645745611345,1.1573751737527196,0.3047286435884678,3.798051801509478,0.00014583784935319529,0.005726735305297038,TOMM20
729.8185456915664,0.7717882929980469,0.23129547713563342,3.3368066792999342,0.0008474687328819286,0.015055072006090534,PINK1
538.7546294139307,0.36678052199637584,0.21900808977044506,1.674735040065504,0.09398622921511546,0.24011690715105274,MFN2
3.5621970094229547,1.4340725163998966,0.9545867824284147,1.502296640596361,0.1330205158694642,,HSPE1
910.8692607711419,0.0891878915761509,0.16801033034951574,0.530847665084708,0.5955243466130338,0.752278362454839,HSPD1
1706.7949471095853,0.11743216714214907,0.20294565617995855,0.5786384855560452,0.5628331308580792,0.7292086573402637,MFF
512.9426961804397,-0.016137148767671777,0.20731310054146407,-0.07783950327077489,0.9379557226947324,0.9669670312575797,ATG16L1
935.5307033749912,-0.0017262503536763776,0.1754183827143103,-0.009840760853939588,0.9921483355749081,0.9956141269298063,IMMT
2643.0245818757885,0.2338027313390975,0.1485689247054637,1.5736987516239274,0.11555711059168396,0.27266840840731865,NDUFS1
876.5409114370319,0.16381732752120617,0.16663020416432148,0.9831190470105803,0.32554885099622155,0.5214277865250541,TOMM70
2432.9136606898683,0.3313351131473304,0.20800852884243087,1.592891959724983,0.11118443032167553,0.26599208012641573,ATP6V1A
1938.804496791632,-0.18506014191433787,0.20494766892248617,-0.9029629021266399,0.3665455843385421,0.5610244542285753,RAB7A
1210.889930152836,-0.37058433392654994,0.1457926032930691,-2.5418596386649974,0.01102644436435599,0.06451570025985849,MFN1
2804.24105638131,-0.25541425518012817,0.20517409756302338,-1.244865985589007,0.213181015876592,0.40067450404868105,OPA1
512.1460370321031,0.6481265860310685,0.2409937915397117,2.6893912158076,0.007158247380096007,0.05022562697177991,UQCRC1
4534.532908252849,-0.2692634151011915,0.17553786205132868,-1.533933545473265,0.1250460023179645,0.28577025181690413,ATG7
2679.8045894275815,-0.2592932170273395,0.20005769148965327,-1.2960922176828669,0.19494371583286108,0.3776929946619333,PPARGC1A
828.5057942472645,1.2532398705521914,0.36180664414383473,3.4638387404902686,0.0005325256443842842,0.01140033060184037,SLC25A4
1320.3283771169713,-0.3453134940584746,0.22050862409201524,-1.5659863439825372,0.11735181418319487,0.275063491377801,WDR41
646.0198339148219,-0.06350871123090499,0.19137049690606628,-0.3318626029490746,0.7399930100659494,0.8520296876225942,ATG12
1113.3306878509359,0.9723341380199485,0.24162081878825564,4.024215061004546,5.7165660331821563e-05,0.003517012110714439,VDAC1
655.9337945663704,0.0734487488139506,0.19083054427643206,0.38488989848268046,0.7003189903121259,0.8255457075418968,PPARGC1B
994.7218513955684,0.32313639260594224,0.2048995914518142,1.5770475202823115,0.11478459122886982,0.271671882379646,SQSTM1
0.0,,,,,,SDHA
2160.6834496403576,-0.2396440853632354,0.1566265381575438,-1.5300350003406695,0.12600806568033046,0.2870300814715568,ATG5
1713.7065491799635,0.15342170139047495,0.23124529924213238,0.6634586817258072,0.5070368335801745,0.684589168534758,SOD2
724.5017019516504,-0.4295955052144148,0.1749095690890012,-2.4561006436178396,0.014045381561955485,0.07472847800237022,TFB1M
9535.560662348234,-0.535581366247451,0.1959038260096129,-2.7338994707595465,0.006258915040759233,0.04651745974499761,PRKN
629.452970888299,0.34363110722748663,0.17453122677581118,1.9688803750224457,0.04896682965693001,0.16000319056784698,WIPI2
352.9499351067349,1.0709332921872112,0.30277566629197855,3.5370520534317573,0.000404619911139268,0.00995197491679034,FIS1
2537.183057667602,-0.34429946500666325,0.18475987627362347,-1.8634969450659662,0.062392381949766096,0.1866645808988696,NRF1
2983.3753231549945,0.004677934961391819,0.17561129350468319,0.026638007545152945,0.978748458369247,0.9887379705418592,TAX1BP1
168.12653244937485,0.8132057983215291,0.31503433619622484,2.5813243348020616,0.009842206675679246,0.060289523746652654,FUNDC1
1483.6681858702607,-0.86904466938833,0.27702383034368266,-3.137075493866978,0.001706421827083298,0.021682216338612146,LAMP2
255.72359585096046,-0.1977438116001387,0.2702718515952852,-0.7316478221204012,0.4643835514098128,0.648522773829921,RAB9A
339.7941874558804,1.3189499198817276,0.34056619401514776,3.872815162103445,0.00010758542012786263,0.004913845498854901,SLC25A5
2014.0411883735921,-0.23459037743927713,0.2554891810672935,-0.9182008273668862,0.35851373560199506,0.5527347208104613,BNIP3L
3118.547375448534,-0.22682203522419933,0.18919929593078474,-1.1988524275860848,0.23058533247970647,0.4214332379844012,RB1CC1
1172.780313076359,-0.36553240544564225,0.20828243869254204,-1.7549842787524979,0.07926199690255088,0.21572524446271651,C9orf72
3425.5952325251087,-0.23447685466867,0.12183862238251514,-1.9244870803982381,0.05429355861114807,0.17007412040525974,UVRAG
0.0,,,,,,CTSD
874.2097517344685,0.46214142127772107,0.32150588388140067,1.4374275695937155,0.15059653974091824,0.3223029685477909,NDUFV1
724.9364384195617,-0.10487773132656118,0.1461384600013242,-0.7176600282062016,0.4729669351097032,0.6552411601326537,ATG13
226.7458439934617,0.04415254718629771,0.1549875910505585,0.284877949821768,0.7757376498128025,0.8741182373930809,VPS11
353.4227731779235,0.24847301068236188,0.2547090656411021,0.9755169493357291,0.32930389835400253,0.5251697076518592,TFAM
439.0056851814437,0.7461348554963371,0.2740483933288095,2.7226390435396843,0.006476277430978313,0.04750742953673143,PRDX3
433.0136437924899,-0.09870697951972507,0.17954254915118162,-0.5497692885969334,0.5824776257314144,0.7434089174064276,TIMM23
